payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
180057903365395,emoney,Daryani Prabowo,M,1989
4730280883020443501,brizzi,Zamira Puspita,M,1977
560124338883,flazz,"Harjaya Lazuardi, S.E.",F,1973
4164398783623350,dki,"R.A. Salwa Yuliarti, M.TI.",F,1969
340627622454204,emoney,Nurul Palastri,F,1992
180005977764266,emoney,Latif Dongoran,F,2001
4107216437478023,dki,"Sutan Erik Napitupulu, S.Pt",M,1988
4402759890633886222,brizzi,"Bahuraksa Narpati, S.Gz",M,1983
370095866460258,emoney,Pranata Tampubolon,F,1979
6505428590869475,dki,dr. Janet Budiyanto,M,1965
4709388179342204,dki,R. Yulia Palastri,F,1955
4725638979751926133,brizzi,"Murti Simanjuntak, M.Farm",M,1988
