payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
342370004909630,emoney,"Kartika Habibi, S.Psi",M,1975
6530217723210577,dki,Azalea Sinaga,M,1979
2516083110424925,dki,Salimah Nurdiyanti,M,1965
3548059679186550,dki,Cinta Widodo,M,1965
36291352939899,bni,Titin Yuliarti,F,2010
6011718928121822,dki,Ade Halimah,F,1993
3581752444414350,dki,Titin Yolanda,M,1989
4668539141678666,dki,Queen Wahyudin,F,1981
502041776746,flazz,Kiandra Gunarto,M,1983
3522657002696375,dki,Hj. Shania Puspasari,F,1991
