payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
4148347241602606,dki,Luhung Aryani,M,2005
6011596915345442,dki,Atmaja Nababan,M,2008
4868902332492297,dki,"drg. Salimah Pranowo, S.E.",M,1989
564493024850,flazz,"drg. Pranata Sihotang, M.Farm",F,1993
4518705930955431,dki,Wirda Oktaviani,F,1993
377219934316440,emoney,Nurul Rajata,M,1986
501830527583,flazz,Mahesa Mustofa,F,1988
4131228650532352,dki,Ganda Puspita,F,1983
213195662335844,emoney,"Diah Widiastuti, S.Kom",M,1988
5550195894033357,dki,Cakrabirawa Manullang,M,1981
60427539402,flazz,"Lanang Firmansyah, M.Farm",F,1983
