payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
4290559479079,online,Lutfan Hakim,M,2011
6011141476414459,dki,Kariman Rajata,M,1971
4582951929146910,dki,H. Jarwadi Suartini,M,2002
4726207758980912,dki,Suci Wacana,M,1974
6011822091986589,dki,"Yosef Novitasari, M.M.",F,1984
180040603003177,emoney,Kairav Hartati,M,1976
180045201850150,emoney,Ellis Sirait,F,1985
4652259970415845,dki,Clara Ardianto,M,1996
3549586894382068,dki,Galih Mangunsong,F,1979
630413421839,flazz,"Satya Suryatmi, M.M.",F,2001
4232532077815102,dki,"Banawi Siregar, S.Farm",M,2006
4607954544005942,dki,Hj. Rini Pangestu,M,1999
503808358074,flazz,Indah Hasanah,F,1993
