payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
4017802962833960,dki,Aurora Hasanah,F,1990
4941966320527194737,brizzi,Widya Nuraini,F,1994
6563524092020960,dki,Hendra Andriani,M,1992
38919000659661,bni,Anggabaya Suartini,F,1994
4461146257530,online,dr. Wisnu Wulandari,M,1974
213186627613334,emoney,Kenari Pangestu,M,1996
4939292313812746,dki,Warta Siregar,F,1994
38854847237365,bni,Taufik Waskita,M,2003
30204462301856,bni,R. Umay Usamah,M,1971
6531733212216122,dki,Saadat Habibi,F,2003
4060058529274906600,brizzi,"Tgk. Gina Sitorus, S.Gz",M,2008
213192362747287,emoney,"Dr. Malik Purwanti, S.Kom",M,1979
2254638260624412,dki,Slamet Hutapea,F,1993
4718462919104,online,Tgk. Shakila Prakasa,F,1988
2299897648971146,dki,Indra Simbolon,F,1993
3508576375228004,dki,Winda Lazuardi,M,1965
30378484061308,bni,"Surya Wibisono, S.T.",M,2007
5209931277664722,dki,R.M. Taufan Maryadi,F,1975
