payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
574726750023,flazz,drg. Lukita Rajata,F,1983
30583455954585,bni,Bahuwirya Rahayu,M,1981
3546736957468063,dki,Gambira Handayani,F,1972
213182881743974,emoney,Putri Nashiruddin,M,1995
2273899076950287,dki,"Maida Suryono, S.Gz",F,2011
6011917728048173,dki,Shania Nuraini,F,1991
346331244372936,emoney,Restu Aryani,M,1990
60477173011,flazz,Chelsea Rahimah,F,1990
4445364788309420,dki,Hafshah Sitorus,M,1965
30256261072781,bni,Nrima Lazuardi,F,1998
4377104655542451,dki,Ulva Nainggolan,F,2008
3562938327884362,dki,"Teguh Thamrin, S.I.Kom",M,1980
30118628845442,bni,"Rahayu Farida, S.Kom",M,1980
3507020075354977,dki,Sari Hartati,M,1991
374756385426999,emoney,Violet Siregar,F,1992
4129127991194644648,brizzi,Hj. Nadine Susanti,M,1981
180074952289665,emoney,Asmadi Setiawan,F,1971
