payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
630465586752,flazz,Winda Puspita,M,1959
6587237994402242,dki,Tgk. Tira Wahyudin,F,1994
4366512846464588,dki,"Jayadi Zulaika, M.Ak",F,1992
30441889571006,bni,Lili Purwanti,M,2007
213132884130372,emoney,Dr. Rika Zulaika,F,1992
4377787328010,online,Puti Ida Januar,F,2004
6547377960862547,dki,Fitriani Rahmawati,F,2006
6528986136645686,dki,"Kawaya Sudiati, S.Farm",F,2004
571548857234,flazz,Yance Wahyuni,M,1993
370015486110380,emoney,Surya Marpaung,F,2010
