payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
676368577380,flazz,"Tgk. Puput Hartati, S.Psi",F,1982
4238644242805860,dki,"H. Yahya Handayani, S.I.Kom",F,1994
213100436673249,emoney,Ir. Siti Waskita,F,2002
3540608831782736,dki,Jasmani Tamba,M,2002
3560071015571703,dki,"Agnes Hidayanto, M.Farm",F,1995
6011891604500799,dki,"Gandi Agustina, S.Ked",F,2001
4287168593134639,dki,Ami Iswahyudi,M,1983
630471439459,flazz,Aisyah Budiman,F,2011
373968716660847,emoney,"Puti Tira Handayani, M.Kom.",M,1964
2295060820117756,dki,Ami Uyainah,M,1972
