payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986
4924888393613412,dki,Zelda Irawan,M,1983
213111941956573,emoney,Kamila Yulianti,M,1974
375351347671954,emoney,"Cecep Rahimah, M.Pd",F,1974
630440475063,flazz,Jaiman Sinaga,F,1993
6011831480860198,dki,"Drs. Among Wijaya, S.Pt",F,1978
3525037988255016,dki,"Tgk. Ajiman Palastri, S.Kom",M,1991
4507197514242809047,brizzi,Dr. Fathonah Uwais,M,1967
3521412313713308,dki,Wirda Palastri,F,1987
2297064871329623,dki,drg. Lukita Hakim,F,1994
180084292834161,emoney,Wani Siregar,F,1976
2716817624410658,dki,Mahfud Uyainah,M,1973
6569508543964383,dki,"Tgk. Hesti Situmorang, M.TI.",F,1996
