payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
373945281501952,emoney,"Jamal Pudjiastuti, S.I.Kom",F,1981
2237440645700724,dki,Latika Sirait,M,1953
4719913296770918,dki,Umar Pradana,M,2003
180000876162530,emoney,"Ir. Yani Sihombing, S.H.",M,1973
6589314352421169,dki,"H. Rangga Santoso, S.Farm",M,1973
3570915405874358,dki,H. Langgeng Nuraini,M,1966
2720067582504076,dki,Nova Nugroho,M,1999
6011980496984235,dki,Dr. Sadina Hassanah,F,1988
3569762797187392,dki,Edi Yulianti,M,2001
6011582897349081,dki,Ella Yuniar,F,2003
3592455361016219,dki,Jane Setiawan,F,1987
3588104432841769,dki,Maryadi Sudiati,F,1995
6011379876309750,dki,Hani Mandasari,F,1999
3512336121003019,dki,Ir. Vanesa Rahayu,M,1981
4582832677562989,dki,"Rahmi Siregar, S.E.I",M,1989
4767223872063121,dki,Edi Suryatmi,M,1995
630485154219,flazz,Jaga Saputra,M,2012
30471339318393,bni,Dr. Enteng Safitri,F,1988
568339050417,flazz,Ganda Latupono,F,2010
4374767918118,online,Harja Prabowo,M,1992
