payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
4974804949914047,dki,Gangsar Siregar,M,1996
3536260321802008,dki,Yuliana Haryanto,M,1989
3517510209029816,dki,Endah Novitasari,M,1985
503882172573,flazz,"Mahfud Salahudin, S.Farm",M,1993
4931734690862,online,Setya Nasyiah,M,1982
30495673428443,bni,Gina Natsir,F,1981
2250593856143596,dki,Diana Zulaika,M,1997
3596121484860455,dki,R. Fitria Maheswara,M,1975
4095427468067,online,dr. Najwa Lailasari,M,1979
565988717981,flazz,Salimah Suartini,M,1992
4839065457731638,dki,Leo Wastuti,F,1991
572311836488,flazz,Cornelia Haryanti,F,1989
30092164700289,bni,Asman Gunawan,M,2008
3547463230183083,dki,"Drs. Icha Laksita, S.E.",F,1992
