payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
586818272435,flazz,"KH. Paiman Maheswara, S.I.Kom",M,1969
4986663118222525457,brizzi,Yahya Narpati,F,2010
3555797726624178,dki,Jelita Suwarno,M,1995
30128251923093,bni,Halima Sihotang,M,1966
5451437566035173,dki,Tgk. Upik Samosir,M,1995
3549492311838172,dki,T. Harimurti Mangunsong,M,1952
564804206261,flazz,dr. Fitriani Rajata,M,2003
4068378587730,online,Rahayu Iswahyudi,F,1983
501879923123,flazz,Bakianto Mandasari,M,1996
4685818286724028395,brizzi,Kamila Mahendra,F,2004
