payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
2718070346782735,dki,Asman Uyainah,F,2005
4122123545871,online,"Cahyono Firmansyah, S.Pd",M,1992
4445427212090,online,R.M. Langgeng Nashiruddin,F,2008
2259163638164343,dki,Gambira Sihombing,F,1976
675983362574,flazz,Salwa Waskita,M,1993
6011491438537776,dki,Cut Dian Simanjuntak,M,1981
30389692704498,bni,Jelita Utami,F,1980
4800273826652460,dki,Rahayu Winarsih,F,1988
4724873649782668,dki,Laila Yulianti,F,1999
180097961752050,emoney,Narji Wijaya,F,2011
30213702385918,bni,Farhunnisa Latupono,M,1983
6592199688926618,dki,"Cut Ifa Kusumo, S.Pt",F,1979
