payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
340858239719917,emoney,"Yance Pratama, S.Kom",F,1994
4749161925932703003,brizzi,"Rina Simanjuntak, S.Ked",F,1986
180048325425156,emoney,Dagel Ardianto,M,1973
5598626771361457,dki,Karsana Budiman,F,1985
30087999917744,bni,Saadat Lestari,M,1985
2308113896893183,dki,"Lasmono Maryadi, M.Farm",F,1996
6562850163811263,dki,Dina Prabowo,F,1981
30468584253606,bni,Elvina Habibi,F,1988
3566083387398361,dki,"Julia Namaga, M.Ak",F,1991
36883602587849,bni,Jaya Waskita,F,1981
3592479316508823,dki,Cayadi Mayasari,M,2009
3573408657682585,dki,Lalita Saragih,M,1974
30233090748972,bni,Salimah Riyanti,F,2002
