payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
213148799089875,emoney,Kambali Mandasari,F,2005
3561570507349808,dki,"KH. Oskar Megantara, S.I.Kom",F,2001
4309038731411054,dki,R. Viktor Winarno,F,1999
213108112882307,emoney,R.M. Rafi Puspita,M,1966
4034493214627498,dki,Elon Wibowo,M,1980
213109439786494,emoney,Muni Saragih,M,2006
6594531889548841,dki,T. Raden Kuswandari,M,1948
2701475996968535,dki,Caket Jailani,F,1984
3594978763014050,dki,Suci Namaga,M,2012
3539941673936471,dki,"Calista Saputra, S.Ked",M,1985
38047439997559,bni,Irma Widiastuti,F,1996
340306170432199,emoney,Carla Utama,F,1980
576927814706,flazz,Lili Siregar,M,1982
