payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
502098244101,flazz,"Tgk. Talia Mangunsong, S.E.I",M,1979
4060341720248400161,brizzi,"Winda Winarno, S.Pd",M,1946
4492109252403353,dki,Bakiman Mahendra,M,1983
6011532103411290,dki,"Betania Hutasoit, S.Pt",M,1974
4241777460261997,dki,Warsa Novitasari,M,1978
213113371461462,emoney,Belinda Samosir,F,1993
4119972246486,online,Vera Marbun,F,2003
675931790124,flazz,"Prayoga Siregar, S.Gz",F,1963
30152377357879,bni,Galar Sitompul,M,1975
4236399289828180970,brizzi,Eman Hutasoit,M,1956
4569004720406572858,brizzi,Uli Situmorang,M,1981
6011018350339285,dki,dr. Indra Maryati,M,2007
30480183587078,bni,"Hj. Julia Nainggolan, M.Kom.",M,1990
