payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
676172975739,flazz,"Dr. Zaenab Wulandari, S.Ked",M,1996
3512094791916164,dki,Nurul Prasasta,F,1982
4580278479854954,dki,Luluh Astuti,M,1992
180060321880524,emoney,"Sutan Bajragin Pranowo, S.I.Kom",F,1986
3583963796594222,dki,Daryani Waluyo,F,2012
502018648266,flazz,"Okto Mandasari, S.E.I",F,2000
4748618433619,online,Sakura Haryanti,F,2006
630464739089,flazz,Dt. Praba Adriansyah,F,1984
343544814093640,emoney,"Tgk. Puti Hartati, S.E.",M,2003
213107696090881,emoney,Kartika Yuniar,F,1968
2294272245944067,dki,"Tgk. Usyi Sirait, S.Gz",F,2001
2221445182130548,dki,Natalia Haryanti,F,1993
6011492243165720,dki,Kuncara Laksmiwati,M,2005
