payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate
4015639837568333411,brizzi,Karimah Salahudin,F,1992
4150186692389,online,Lili Suryatmi,M,1968
569536767183,flazz,Jamalia Zulaika,F,1985
213174928876354,emoney,Rini Hutasoit,M,1987
4048469899809060431,brizzi,"Hesti Kusumo, S.T.",F,1977
2294823290681911,dki,dr. Cayadi Yuliarti,F,1986
3512927531214772,dki,Ifa Rajasa,M,1965
2227323355527424,dki,Salwa Marpaung,F,1982
566942923723,flazz,Harimurti Hariyah,F,1998
349281490644321,emoney,"Vivi Mahendra, M.Kom.",M,1973
6520849770634960,dki,"Drs. Hilda Anggraini, S.Farm",M,1982
30335751052527,bni,"Satya Wahyuni, S.I.Kom",F,2011
213119611434995,emoney,"Jono Melani, S.E.",F,1988
574887290025,flazz,Gina Widiastuti,M,1959
3556146215285027,dki,Cakrawala Yuniar,F,1998
3596085027829766,dki,Ghani Wahyudin,F,2000
4523723987090328,dki,Padma Siregar,F,2005
6502902290603767,dki,Titi Siregar,M,1974
