transID,payCardID,halteID_tapIn,halteID_tapOut,corridorID,transaction_created_at,tapInTime,tapOutTime,duration,stopStartSeq,stopEndSeq,seqAmount,payAmount
GAJH249J9L76BV,30183483265664,B00422P,B00546P,JAK.27,2023-04-14,2023-04-14T11:15:45.000Z,2023-04-14T11:51:59.000Z,36,39,42.0,3.0,0.0
MGCB100D9B47GK,180097961752050,P00247,P00101,7F,2023-04-14,2023-04-14T10:01:19.000Z,2023-04-14T10:25:42.000Z,24,15,16.0,1.0,3500.0
IXLO657D6E85XY,4658673312063,P00065,P00026,9C,2023-04-14,2023-04-14T07:52:23.000Z,2023-04-14T08:59:05.000Z,6,12,14.0,2.0,3500.0
FYYY742A3L71TP,4358928087871,unknown,B01882P,1C,2023-04-14,2023-04-14T10:36:18.000Z,2023-04-14T11:41:47.000Z,5,5,28.0,23.0,3500.0
PHZE698Z0N42WG,377814808795289,B04691P,B04916P,JAK.61,2023-04-14,2023-04-14T10:01:14.000Z,2023-04-14T11:53:02.000Z,51,30,39.0,9.0,0.0
LUKV847Q6E21EO,180005680484434,unknown,P00024,13D,2023-04-14,2023-04-14T06:01:43.000Z,2023-04-14T07:54:09.000Z,52,10,17.0,7.0,3500.0
PYUI457H0C30ZY,3542062438073909,B06724P,B00788P,JAK.99,2023-04-14,2023-04-14T12:49:02.000Z,2023-04-14T14:48:33.000Z,59,25,27.0,2.0,0.0
BJQO455V1V88QW,6505428590869475,B02943P,unknown,4E,2023-04-14,2023-04-14T06:55:14.000Z,"","",8,"","",0.0
BPFV025F5B13EF,6509546148313351,B05397P,P00121,6C,2023-04-14,2023-04-14T11:12:26.000Z,2023-04-14T12:53:48.000Z,41,5,10.0,5.0,3500.0
LBCY152G8O77OZ,371171976930370,B00713P,B02929P,JAK.06,2023-04-14,2023-04-14T09:09:01.000Z,2023-04-14T10:23:58.000Z,14,49,50.0,1.0,0.0
WJWG234B4A85UE,4980564692107508708,B04728P,B00158P,1H,2023-04-14,2023-04-14T13:34:47.000Z,2023-04-14T14:28:31.000Z,53,9,11.0,2.0,3500.0
UBNR737G4Y90WE,4844470388320,B03318P,B05511P,unknown,2023-04-14,2023-04-14T06:32:35.000Z,2023-04-14T07:12:14.000Z,39,22,24.0,2.0,""
EERZ067D6B11HJ,6544577386584806,B05399P,B06643P,D32,2023-04-14,2023-04-14T07:13:24.000Z,2023-04-14T08:48:07.000Z,34,0,5.0,5.0,20000.0
VPRM381C9G11IX,2294272245944067,P00170,B03285P,12H,2023-04-14,2023-04-14T12:41:03.000Z,2023-04-14T13:31:02.000Z,49,0,1.0,1.0,3500.0
MXWX885W8H89SD,6011512141688729,B04330P,B05654P,JAK.46,2023-04-14,2023-04-14T10:56:21.000Z,2023-04-14T12:22:13.000Z,25,3,13.0,10.0,0.0
INDO989K9C59HV,4721742558058605,P00273,P00228,6V,2023-04-14,2023-04-14T09:37:17.000Z,2023-04-14T11:03:55.000Z,26,10,14.0,4.0,3500.0
LMBE568I7G91ND,3567474399039094,unknown,P00236,B14,2023-04-14,2023-04-14T07:47:59.000Z,2023-04-14T09:26:32.000Z,38,0,19.0,19.0,20000.0
IRQV303Q9E83PJ,3530393834004501,P00106,P00043,13C,2023-04-14,2023-04-14T13:48:11.000Z,2023-04-14T15:13:43.000Z,25,11,13.0,2.0,3500.0
LSUB349C5A12KE,180052842269402,B02972P,P00083,8C,2023-04-14,2023-04-14T09:43:21.000Z,2023-04-14T10:44:52.000Z,1,27,29.0,2.0,3500.0
OCVD973I0F15FC,630487347266,B00898P,B05398P,JAK.18,2023-04-14,2023-04-14T07:36:09.000Z,2023-04-14T08:56:04.000Z,19,37,43.0,6.0,0.0
VOGU645F3O61NQ,3556146215285027,B00083P,B05725P,14,2023-04-14,2023-04-14T06:53:17.000Z,2023-04-14T08:43:36.000Z,50,17,21.0,4.0,3500.0
LTDN427E9D98GX,379208329550349,B04878P,B04804P,JAK.112,2023-04-14,2023-04-14T06:02:26.000Z,2023-04-14T06:33:29.000Z,31,14,18.0,4.0,0.0
ZQIY001V5H15IK,6011656090843460,B03974P,unknown,unknown,2023-04-14,2023-04-14T10:55:39.000Z,2023-04-14T12:26:21.000Z,30,21,26.0,5.0,3500.0
MIAI496E1U84LZ,6507638073318307,B04145P,B01798P,JAK.50,2023-04-14,2023-04-14T11:46:53.000Z,2023-04-14T12:44:17.000Z,57,47,49.0,2.0,0.0
NPOS602B8L89CF,567048101008,B00378P,B00589P,T21,2023-04-14,2023-04-14T05:37:37.000Z,2023-04-14T07:13:48.000Z,36,1,3.0,2.0,20000.0
JIAG345J3G15PV,2606548319852663,P00033,P00064,9C,2023-04-14,2023-04-14T11:10:04.000Z,2023-04-14T12:45:16.000Z,35,13,14.0,1.0,3500.0
XZHH352L1X01ZK,4484557309610616405,B03023P,B05227P,JAK.60,2023-04-14,2023-04-14T08:07:32.000Z,2023-04-14T09:42:04.000Z,34,37,38.0,1.0,0.0
FDMR236B6R01DZ,4581300237839678,B00538P,B05350P,11N,2023-04-14,2023-04-14T12:26:01.000Z,2023-04-14T13:24:14.000Z,58,1,14.0,13.0,0.0
HHHN542S5A61VB,4993628236551825,B04170P,B01168P,JAK.106,2023-04-14,2023-04-14T11:28:47.000Z,2023-04-14T12:34:20.000Z,5,28,30.0,2.0,0.0
QYFS422Q5I51SV,4991481114103745,B00154P,B05750P,JAK.75,2023-04-14,2023-04-14T10:54:54.000Z,2023-04-14T12:10:33.000Z,15,22,28.0,6.0,0.0
SUKO067D9S99HY,676318264501,B00126P,B00127P,1B,2023-04-14,2023-04-14T11:06:02.000Z,2023-04-14T12:09:17.000Z,3,5,6.0,1.0,3500.0
IVKI163N4N55YX,4234007630783462979,B01781P,B01315P,8D,2023-04-14,2023-04-14T05:20:14.000Z,2023-04-14T06:11:22.000Z,51,0,5.0,5.0,3500.0
SQEQ226J5Y75SG,2614059373381201,P00254,B05920P,M7B,2023-04-14,2023-04-14T06:43:22.000Z,2023-04-14T07:18:36.000Z,35,12,31.0,19.0,""
APJS472U1Q62ZW,4019905363673105,B02457P,B04178P,JAK.80,2023-04-14,2023-04-14T13:32:17.000Z,2023-04-14T15:03:52.000Z,31,31,43.0,12.0,0.0
YELJ270M4L20OI,3504089754852802,B03291P,B06655P,11B,2023-04-14,2023-04-14T06:11:50.000Z,2023-04-14T06:52:37.000Z,40,0,1.0,1.0,0.0
PIXV058K9C12SX,6510380828231726,B00494P,unknown,JAK.48B,2023-04-14,2023-04-14T08:56:23.000Z,"","",5,"","",""
AAAB241Q2R43WX,180029435580718,unknown,B00588P,JAK.56,2023-04-14,2023-04-14T12:38:43.000Z,2023-04-14T14:00:46.000Z,22,2,43.0,41.0,0.0
BQNG752N3G82VB,349683800593553,B00264P,B03270P,10B,2023-04-14,2023-04-14T06:23:35.000Z,2023-04-14T07:59:42.000Z,36,2,6.0,4.0,0.0
IMZH615W0O14MY,3546745892021028,B02514P,B02828P,JAK.37,2023-04-14,2023-04-14T11:45:36.000Z,2023-04-14T12:12:36.000Z,27,35,41.0,6.0,0.0
BITX319V6Z54BA,349577577192740,B05530P,B03284P,10A,2023-04-14,2023-04-14T12:16:08.000Z,2023-04-14T13:44:02.000Z,27,4,6.0,2.0,0.0
OQMH567K4X78EE,5284657247304556,B01166P,B00168P,JAK.60,2023-04-14,2023-04-14T07:46:43.000Z,2023-04-14T08:11:52.000Z,25,6,32.0,26.0,0.0
BISQ140N8S98CK,30213702385918,P00169,B03281P,11K,2023-04-14,2023-04-14T06:59:45.000Z,2023-04-14T07:28:04.000Z,28,0,1.0,1.0,0.0
XEWV795W3L40BA,30118628845442,B05316P,B01544P,JAK.110A,2023-04-14,2023-04-14T08:15:44.000Z,2023-04-14T09:36:37.000Z,20,42,48.0,6.0,0.0
DBYN624V0I28HN,30568786410068,B00400P,B00449P,JAK.19,2023-04-14,2023-04-14T11:30:31.000Z,2023-04-14T13:02:02.000Z,31,2,47.0,45.0,0.0
RVIO940W3D99YB,6011024970416149,B02727P,B05889P,JAK.18,2023-04-14,2023-04-14T07:43:45.000Z,2023-04-14T09:09:10.000Z,25,3,28.0,25.0,0.0
GLNT993Y7X55QC,4188469163215,P00109,P00070,5D,2023-04-14,2023-04-14T05:12:58.000Z,2023-04-14T06:43:19.000Z,30,13,17.0,4.0,3500.0
FNHK685I2I21WV,344784326221920,B03199P,B05725P,2P,2023-04-14,2023-04-14T10:42:48.000Z,2023-04-14T11:11:19.000Z,28,10,14.0,4.0,3500.0
OXEV498U8R70GP,3597961910262449,B05693P,unknown,1P,2023-04-14,2023-04-14T08:39:11.000Z,2023-04-14T09:53:50.000Z,14,11,20.0,9.0,3500.0
