transID,payCardID,halteID_tapIn,halteID_tapOut,corridorID,transaction_created_at,tapInTime,tapOutTime,duration,stopStartSeq,stopEndSeq,seqAmount,payAmount
FIIC736E4F41JE,180050809468835,B00883P,P00019,B21,2023-04-10,2023-04-10T21:15:13.000Z,2023-04-10T22:33:45.000Z,18,1,8.0,7.0,3500.0
BKHV206O9L65UM,4164398783623350,P00051,P00261,1B,2023-04-10,2023-04-10T21:02:13.000Z,2023-04-10T22:08:34.000Z,6,8,9.0,1.0,3500.0
HCKE129G1C62PX,38414806494844,B03199P,B05866P,2P,2023-04-10,2023-04-10T21:06:55.000Z,2023-04-10T22:52:58.000Z,46,10,12.0,2.0,3500.0
NLAL080V5O32FZ,4683751365132966547,B05276P,B05914P,8K,2023-04-10,2023-04-10T17:43:11.000Z,2023-04-10T19:35:34.000Z,52,25,26.0,1.0,3500.0
VWBA509Y8G45GC,213109818183511,B04108P,B00961P,JAK.72,2023-04-10,2023-04-10T17:48:48.000Z,2023-04-10T19:25:34.000Z,36,21,28.0,7.0,0.0
FYUW178E2Q25RB,639083950241,B02723P,B05535P,10B,2023-04-10,2023-04-10T21:57:17.000Z,2023-04-10T23:14:05.000Z,16,0,4.0,4.0,0.0
BWUH881E6O74VX,180006537547852,B00227P,B01578P,JAK.39,2023-04-10,2023-04-10T19:54:15.000Z,2023-04-10T20:52:11.000Z,57,17,26.0,9.0,0.0
FMLU436S6Q09RQ,4398802942684,B03285P,P00170,12H,2023-04-10,2023-04-10T21:13:15.000Z,2023-04-10T22:16:44.000Z,3,0,1.0,1.0,3500.0
WVBK421X3U02VE,6011818608233762,P00188,P00263,4,2023-04-10,2023-04-10T19:48:50.000Z,2023-04-10T21:22:50.000Z,34,7,13.0,6.0,3500.0
INUA719Y6Z08UR,4060341720248400161,B00962P,B02306P,10K,2023-04-10,2023-04-10T17:50:19.000Z,2023-04-10T19:28:28.000Z,38,5,23.0,18.0,3500.0
OHOY270C2E15SE,373286421882964,P00207,P00219,7F,2023-04-10,2023-04-10T19:57:35.000Z,2023-04-10T21:36:12.000Z,38,11,16.0,5.0,3500.0
BTOC581V6B40GZ,3583284755921516,B06872P,B01745P,JAK.77,2023-04-10,2023-04-10T21:36:08.000Z,2023-04-10T23:20:27.000Z,44,38,41.0,3.0,0.0
QLXO879I6O28PL,4726554349155,B04044P,B01543P,JAK.27,2023-04-10,2023-04-10T20:58:17.000Z,2023-04-10T22:36:33.000Z,38,3,15.0,12.0,0.0
LJBP062O3L53PX,3593536489487546,B00108P,P00236,B13,2023-04-10,2023-04-10T21:01:09.000Z,2023-04-10T22:49:09.000Z,48,9,10.0,1.0,20000.0
YPUS157H6W52TT,4916430456848946627,B06803P,B05728P,JAK.29,2023-04-10,2023-04-10T21:21:25.000Z,2023-04-10T23:04:41.000Z,43,22,50.0,28.0,0.0
ZJDN152C3G17UB,676145146616,B02518P,B04454P,JAK.58,2023-04-10,2023-04-10T19:03:01.000Z,2023-04-10T20:54:52.000Z,51,5,44.0,39.0,0.0
NJPG044U9R13NY,2299346377262087,P00138,P00076,12,2023-04-10,2023-04-10T17:53:50.000Z,2023-04-10T19:08:48.000Z,14,4,8.0,4.0,3500.0
UJFL994C7R70EM,346939661435562,B06579P,B02013P,B13,2023-04-10,2023-04-10T18:59:33.000Z,2023-04-10T20:02:18.000Z,2,0,5.0,5.0,20000.0
OOND781P4T49XB,676258627659,B02864P,B06638P,7Q,2023-04-10,2023-04-10T18:58:51.000Z,2023-04-10T20:42:24.000Z,43,8,18.0,10.0,3500.0
DKYO473H0P15PF,4179573090284608,B05773P,B00360P,1T,2023-04-10,2023-04-10T19:13:27.000Z,2023-04-10T20:09:25.000Z,55,6,11.0,5.0,20000.0
FZPR404K6I25ZO,30063543803011,P00199,P00254,6V,2023-04-10,2023-04-10T20:20:55.000Z,2023-04-10T21:45:22.000Z,24,0,10.0,10.0,3500.0
VMTM847X5R35MC,3536007702267420,B03072P,B05721P,JAK.45,2023-04-10,2023-04-10T20:18:58.000Z,2023-04-10T21:50:11.000Z,31,43,44.0,1.0,0.0
CMGO513E2X24CT,213193773813361,B00775P,B03251P,JAK.11,2023-04-10,2023-04-10T20:42:56.000Z,2023-04-10T21:49:18.000Z,6,11,46.0,35.0,0.0
